 ;hut::HUT                                                 ,    hkcode , winput::Vk              , windows::VIRTUAL_KEY                   , vkcode ,make1code , enigo::Key                              , #[cfg(enigo::Key)] , xkeysym::Keysym                   ,  keysym_code , macos::KeyCode                          , cgcode ,
 KeyboardKeypad::KeyboardF12                               ,   0x70045 , Vk::F12                 , VK_F12                                 ,  0x7B  ,     0x58 , Enigo::F12                              ,                    , Keysym::F12                       ,       0xFFC9 , KeyCode::F12                            ,  0x6F  ,
 KeyboardKeypad::KeyboardF13                               ,   0x70068 , Vk::F13                 , VK_F13                                 ,  0x7C  ,     0x64 , Enigo::F13                              ,                    , Keysym::F13                       ,       0xFFCA , KeyCode::F13                            ,  0x69  ,
 KeyboardKeypad::KeyboardF14                               ,   0x70069 , Vk::F14                 , VK_F14                                 ,  0x7D  ,     0x65 , Enigo::F14                              ,                    , Keysym::F14                       ,       0xFFCB , KeyCode::F14                            ,  0x6B  ,
 KeyboardKeypad::KeyboardF15                               ,   0x7006A , Vk::F15                 , VK_F15                                 ,  0x7E  ,     0x66 , Enigo::F15                              ,                    , Keysym::F15                       ,       0xFFCC , KeyCode::F15                            ,  0x71  ,
 KeyboardKeypad::KeyboardF16                               ,   0x7006B , Vk::F16                 , VK_F16                                 ,  0x7F  ,     0x67 , Enigo::F16                              ,                    , Keysym::F16                       ,       0xFFCD , KeyCode::F16                            ,  0x6A  ,
 KeyboardKeypad::KeyboardF17                               ,   0x7006C , Vk::F17                 , VK_F17                                 ,  0x80  ,     0x68 , Enigo::F17                              ,                    , Keysym::F17                       ,       0xFFCE , KeyCode::F17                            ,  0x40  ,
 KeyboardKeypad::KeyboardF18                               ,   0x7006D , Vk::F18                 , VK_F18                                 ,  0x81  ,     0x69 , Enigo::F18                              ,                    , Keysym::F18                       ,       0xFFCF , KeyCode::F18                            ,  0x4F  ,
 KeyboardKeypad::KeyboardF19                               ,   0x7006E , Vk::F19                 , VK_F19                                 ,  0x82  ,     0x6A , Enigo::F19                              ,                    , Keysym::F19                       ,       0xFFD0 , KeyCode::F19                            ,  0x50  ,
 KeyboardKeypad::KeyboardF2                                ,   0x7003B , Vk::F2                  , VK_F2                                  ,  0x71  ,     0x3C , Enigo::F2                               ,                    , Keysym::F2                        ,       0xFFBF , KeyCode::F2                             ,  0x78  ,
 KeyboardKeypad::KeyboardF20                               ,   0x7006F , Vk::F20                 , VK_F20                                 ,  0x83  ,     0x6B , Enigo::F20                              ,                    , Keysym::F20                       ,       0xFFD1 , KeyCode::F20                            ,  0x5A  ,
 KeyboardKeypad::KeyboardF21                               ,   0x70070 , Vk::F21                 , VK_F21                                 ,  0x84  ,     0x6C , Enigo::F21                              , #[windows|linux]   , Keysym::F21                       ,       0xFFD2 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardF22                               ,   0x70071 , Vk::F22                 , VK_F22                                 ,  0x85  ,     0x6D , Enigo::F22                              , #[windows|linux]   , Keysym::F22                       ,       0xFFD3 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardF23                               ,   0x70072 , Vk::F23                 , VK_F23                                 ,  0x86  ,     0x6E , Enigo::F23                              , #[windows|linux]   , Keysym::F23                       ,       0xFFD4 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardF24                               ,   0x70073 , Vk::F24                 , VK_F24                                 ,  0x87  ,     0x76 , Enigo::F24                              , #[windows|linux]   , Keysym::F24                       ,       0xFFD5 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardF3                                ,   0x7003C , Vk::F3                  , VK_F3                                  ,  0x72  ,     0x3D , Enigo::F3                               ,                    , Keysym::F3                        ,       0xFFC0 , KeyCode::F3                             ,  0x63  ,
 KeyboardKeypad::KeyboardF4                                ,   0x7003D , Vk::F4                  , VK_F4                                  ,  0x73  ,     0x3E , Enigo::F4                               ,                    , Keysym::F4                        ,       0xFFC1 , KeyCode::F4                             ,  0x76  ,
 KeyboardKeypad::KeyboardF5                                ,   0x7003E , Vk::F5                  , VK_F5                                  ,  0x74  ,     0x3F , Enigo::F5                               ,                    , Keysym::F5                        ,       0xFFC2 , KeyCode::F5                             ,  0x60  ,
 KeyboardKeypad::KeyboardF6                                ,   0x7003F , Vk::F6                  , VK_F6                                  ,  0x75  ,     0x40 , Enigo::F6                               ,                    , Keysym::F6                        ,       0xFFC3 , KeyCode::F6                             ,  0x61  ,
 KeyboardKeypad::KeyboardF7                                ,   0x70040 , Vk::F7                  , VK_F7                                  ,  0x76  ,     0x41 , Enigo::F7                               ,                    , Keysym::F7                        ,       0xFFC4 , KeyCode::F7                             ,  0x62  ,
 KeyboardKeypad::KeyboardF8                                ,   0x70041 , Vk::F8                  , VK_F8                                  ,  0x77  ,     0x42 , Enigo::F8                               ,                    , Keysym::F8                        ,       0xFFC5 , KeyCode::F8                             ,  0x64  ,
 KeyboardKeypad::KeyboardF9                                ,   0x70042 , Vk::F9                  , VK_F9                                  ,  0x78  ,     0x43 , Enigo::F9                               ,                    , Keysym::F9                        ,       0xFFC6 , KeyCode::F9                             ,  0x65  ,
 KeyboardKeypad::KeyboardForwardSlashandQuestionMark       ,   0x70038 , Vk::Oem2                , VK_OEM_2                               ,  0xBF  ,     0x35 , Enigo::OEM2                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardG                                 ,   0x7000A , Vk::G                   , VK_G                                   ,  0x47  ,     0x22 , Enigo::G                                , #[windows]         , Keysym::G                         ,       0x0047 , KeyCodeExt::kVK_ANSI_G                  ,  0x05  ,
 KeyboardKeypad::KeyboardGraveAccentandTilde               ,   0x70035 , Vk::Oem3                , VK_OEM_3                               ,  0xC0  ,     0x29 , Enigo::OEM3                             , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardH                                 ,   0x7000B , Vk::H                   , VK_H                                   ,  0x48  ,     0x23 , Enigo::H                                , #[windows]         , Keysym::H                         ,       0x0048 , KeyCodeExt::kVK_ANSI_H                  ,  0x04  ,
 KeyboardKeypad::KeyboardHelp                              ,   0x70075 , Vk::Help                , VK_HELP                                ,  0x2F  ,     0x63 , Enigo::Help                             ,                    , Keysym::Help                      ,       0xFF6A , KeyCode::HELP                           ,  0x72  ,
 KeyboardKeypad::KeyboardHome                              ,   0x7004A , Vk::Home                , VK_HOME                                ,  0x24  ,     0x47 , Enigo::Home                             ,                    , Keysym::Home                      ,       0xFF50 , KeyCode::HOME                           ,  0x73  ,
 KeyboardKeypad::KeyboardI                                 ,   0x7000C , Vk::I                   , VK_I                                   ,  0x49  ,     0x17 , Enigo::I                                , #[windows]         , Keysym::I                         ,       0x0049 , KeyCodeExt::kVK_ANSI_I                  ,  0x22  ,
 KeyboardKeypad::KeyboardInsert                            ,   0x70049 , Vk::Insert              , VK_INSERT                              ,  0x2D  ,     0x52 , Enigo::Insert                           , #[windows|linux]   , Keysym::Insert                    ,       0xFF63 , todo!(CG)                               ,        ,
 KeyboardKeypad::KeyboardJ                                 ,   0x7000D , Vk::J                   , VK_J                                   ,  0x4A  ,     0x24 , Enigo::J                                , #[windows]         , Keysym::J                         ,       0x004A , KeyCodeExt::kVK_ANSI_J                  ,  0x26  ,
 KeyboardKeypad::KeyboardK                                 ,   0x7000E , Vk::K                   , VK_K                                   ,  0x4B  ,     0x25 , Enigo::K                                , #[windows]         , Keysym::K                         ,       0x004B , KeyCodeExt::kVK_ANSI_K                  ,  0x28  ,
 KeyboardKeypad::KeyboardL                                 ,   0x7000F , Vk::L                   , VK_L                                   ,  0x4C  ,     0x26 , Enigo::L                                , #[windows]         , Keysym::L                         ,       0x004C , KeyCodeExt::kVK_ANSI_L                  ,  0x25  ,
 KeyboardKeypad::KeyboardLeftAlt                           ,   0x700E2 , Vk::LeftMenu            , VK_LMENU                               ,  0xA4  ,     0x38 , Enigo::LMenu                            , #[windows|linux]   , Keysym::Menu                      ,       0xFF67 , KeyCode::OPTION*                        ,  0x3A  ,
 KeyboardKeypad::KeyboardLeftAlt*                          ,   0x700E2 , Vk::Alt                 , VK_MENU                                ,  0x12  ,     0x38 , Enigo::Alt                              ,                    , Keysym::Alt_L                     ,       0xFFE9 , KeyCode::OPTION*                        ,  0x3A  ,
